MPI_Processes,Columns,Rows,Execution_Time
2,1600,1200,0.126334
4,3200,2400,0.108651
6,4800,3600,0.082137
8,6400,4800,0.101094
10,8000,6000,0.069630
12,9600,7200,0.084655
14,11200,8400,0.055679
16,12800,9600,0.044286
18,14400,10800,0.063021
20,16000,12000,0.034143
22,17600,13200,0.029752
24,19200,14400,0.028984
26,20800,15600,0.038686
28,22400,16800,0.043323
30,24000,18000,0.057571
32,25600,19200,0.075465
34,27200,20400,0.075011
36,28800,21600,0.066079
38,30400,22800,0.078207
40,32000,24000,0.077191
42,33600,25200,0.066613
44,35200,26400,0.067418
46,36800,27600,0.067961
48,38400,28800,0.063644
50,40000,30000,0.066934
52,41600,31200,0.064335
54,43200,32400,0.065912
56,44800,33600,0.074820
58,46400,34800,0.074559
60,48000,36000,0.026489
62,49600,37200,0.027020
64,51200,38400,0.027700
66,52800,39600,0.027054
68,54400,40800,0.030492
70,56000,42000,0.028709
72,57600,43200,0.025243
74,59200,44400,0.017620
76,60800,45600,0.020349
78,62400,46800,0.023728
80,64000,48000,0.023299
82,65600,49200,0.021362
84,67200,50400,0.019788
86,68800,51600,0.031080
88,70400,52800,0.026392
90,72000,54000,0.022640
92,73600,55200,0.020740
94,75200,56400,0.026809
96,76800,57600,0.021864
