OMP_NUM_THREADS,Execution_Time
1,0.320295
2,0.161575
3,0.109891
4,0.110609
5,0.080639
6,0.065838
7,0.075178
8,0.060606
9,0.112372
10,0.058699
11,0.070974
12,0.054847
13,0.070214
14,0.053734
15,0.050225
16,0.046030
17,0.080284
18,0.059885
19,0.058501
20,0.040136
21,0.038946
22,0.046971
23,0.067808
24,0.150138
25,0.034676
26,0.071694
27,0.017429
28,0.061967
29,0.050204
30,0.016095
31,0.016232
32,0.054155
33,0.038307
34,0.015709
35,0.016148
36,0.031758
37,0.040960
38,0.037317
39,0.015232
40,0.197374
41,0.034772
42,0.031731
43,0.013543
44,0.013820
45,0.042809
46,0.032485
47,0.013470
48,0.014833
49,0.051818
50,0.036301
51,0.012120
52,0.013639
53,0.018438
54,0.013192
55,0.029038
56,0.039020
57,0.012270
58,0.012175
59,0.013264
60,0.012528
61,0.059359
62,0.026848
63,0.012555
64,0.013112
65,0.012353
66,0.182609
67,0.042166
68,0.038774
69,0.014800
70,0.012752
71,0.013283
72,0.040233
73,0.038227
74,0.029492
75,0.012154
76,0.014111
77,0.017171
78,0.040598
79,0.048654
80,0.013883
81,0.014448
82,0.012648
83,0.014000
84,0.034948
85,0.048239
86,0.013728
87,0.014595
88,0.015423
89,0.254640
90,0.031634
91,0.048061
92,0.014292
93,0.013553
94,0.012718
95,0.013521
96,0.013512
97,0.034653
98,0.040956
99,0.013770
100,0.014396
101,0.014641
102,0.014490
103,0.013646
104,0.217561
105,0.039060
106,0.037291
107,0.015028
108,0.013957
109,0.014437
110,0.015269
111,0.014855
112,0.053884
113,0.035496
114,0.015301
115,0.016095
116,0.015121
117,0.015605
118,0.014646
119,0.060884
120,0.050399
121,0.045429
122,0.016757
123,0.014513
124,0.015938
125,0.015533
126,0.015329
127,0.030996
128,0.074911
